critic,title,rating
Jack Matthews,Pipis in spicy lemongrass tomato broth,3.0
Jack Matthews,Green tea noodles with sticky sweet chilli salmon,4.0
Jack Matthews,Green tea noodles with sticky sweet chilli salmonII,3.5
Jack Matthews,Sesame beef with gochujang udon noodles,5.0
Jack Matthews,Silverbeet fatteh with sumac yoghurt and chickpeas,3.0
Mick LaSalle,Pipis in spicy lemongrass tomato broth,3.0
Mick LaSalle,Green tea noodles with sticky sweet chilli salmon,4.0
Mick LaSalle,Sesame beef with gochujang udon noodles2,2.0
Mick LaSalle,Sesame beef with gochujang udon noodles,3.0
Mick LaSalle,Green tea noodles with sticky sweet chilli salmonII,2.0
Mick LaSalle,Silverbeet fatteh with sumac yoghurt and chickpeas,3.0
Claudia Puig,Sesame beef with gochujang udon noodles2,3.0
Claudia Puig,Green tea noodles with sticky sweet chilli salmonII,2.5
Claudia Puig,Sesame beef with gochujang udon noodles,4.0
Claudia Puig,Silverbeet fatteh with sumac yoghurt and chickpeas,4.5
Lisa Rose,Pipis in spicy lemongrass tomato broth,5.0
Lisa Rose,Green tea noodles with sticky sweet chilli salmon,3.5
Lisa Rose,Sesame beef with gochujang udon noodles2,3.0
Lisa Rose,Sesame beef with gochujang udon noodles,3.5
Lisa Rose,Silverbeet fatteh with sumac yoghurt and chickpeas,3.0
Lisa Rose,Green tea noodles with sticky sweet chilli salmonII,2.5
Abel,Green tea noodles with sticky sweet chilli salmon,4.5
Abel,Silverbeet fatteh with sumac yoghurt and chickpeas,3.0
Abel,Pipis in spicy lemongrass tomato broth,5.0
guest_test,Green tea noodles with sticky sweet chilli salmon,3.5
guest_test,Sesame beef with gochujang udon noodles2,1.5
guest_test,Sesame beef with gochujang udon noodles,5.0
guest_test,Green tea noodles with sticky sweet chilli salmonII,3.5
guest_test,Silverbeet fatteh with sumac yoghurt and chickpeas,3.0
Gene Seymour,Pipis in spicy lemongrass tomato broth,3.0
Gene Seymour,Green tea noodles with sticky sweet chilli salmon,3.5
Gene Seymour,Sesame beef with gochujang udon noodles2,1.5
Gene Seymour,Sesame beef with gochujang udon noodles,5.0
Gene Seymour,Green tea noodles with sticky sweet chilli salmonII,3.5
Gene Seymour,Silverbeet fatteh with sumac yoghurt and chickpeas,3.0
